AccNum,Energy
NM_017582,-0.5704712041884816
NM_001276267,-0.3714545454545455
NM_173469,-0.5444698544698544
NM_001330474,-0.43917525773195876
NM_014372,-0.5273287671232877
NM_007282,-0.40751131221719455
NM_014012,-0.3589447236180905
NM_173527,-0.3641212121212121
NM_004710,-0.5173837209302325
NM_001143909,-0.34004761904761904
NM_052942,-0.27177394034536895
NM_033446,-0.48876344086021506
NM_031277,-0.3565248226950355
NM_001114132,-0.30297921478060047
NM_001085365,-0.5704186046511628
NM_001330282,-0.5266160520607376
NM_000489,-0.34380434782608693
NM_000303,-0.33482352941176474
NM_001346946,-0.43499133448873484
NM_000050,-0.5387719298245615
NM_001320900,-0.3420987654320988
NM_030572,-0.2845886075949367
NM_152601,-0.4185057471264368
NM_001297560,-0.3340940766550523
NM_001353374,-0.4215449654112221
NM_001080528,-0.27299465240641707
NM_024993,-0.31416083916083914
NM_025069,-0.530273556231003
NM_000997,-0.39
NM_001172655,-0.42895384615384613
NM_001271848,-0.4254320987654321
NM_001288805,-0.37634123222748816
NM_001145652,-0.4089046653144016
NM_001033723,-0.31560240963855424
NM_001303124,-0.3762857142857143
NM_001330566,-0.3870848708487085
NM_014455,-0.5538285714285714
NM_018471,-0.4068307692307692
NM_001326297,-0.35014802631578945
NM_001030288,-0.29566037735849054
NM_001330331,-0.38758333333333334
NM_001294340,-0.40213333333333334
NM_007327,-0.5174418604651163
NM_001322216,-0.33393220338983054
NM_001145250,-0.3139
NM_001135243,-0.41225961538461536
NM_032141,-0.2621897810218978
NM_016320,-0.43859884836852203
NM_004628,-0.4162254901960784
NM_138473,-0.32370558375634517
NM_003110,-0.43776371308016876
NM_003111,-0.4768779714738511
NM_001242795,-0.3370924369747899
NM_001003845,-0.5436842105263158
NM_001258248,-0.3855012853470437
NM_024046,-0.44699481865284973
NM_139015,-0.4842735042735043
NM_014498,-0.49763513513513513
NM_025136,-0.41325
NM_214711,-0.2230795847750865
NM_130837,-0.44491017964071855
NM_001172663,-0.5091614906832298
NM_006822,-0.5515486725663717
NM_080879,-0.3322398190045249
NM_181617,-0.28916030534351145
NM_001085480,-0.5265182186234818
NM_001436,-0.4907943925233645
NM_000094,-0.42257425742574256
NM_016426,-0.402724358974359
NM_001101376,-0.3048837209302325
NM_198185,-0.168
NM_001353179,-0.36046986236355005
NM_001042465,-0.5274409448818898
NM_001005170,-0.2539344262295082
NM_032802,-0.5064285714285715
NM_175882,-0.31760683760683756
NM_017433,-0.384195652173913
NM_002207,-0.5869934640522876
NM_003358,-0.5716909090909091
NM_138995,-0.2647325102880658
NM_004320,-0.34186619718309863
NM_170665,-0.6014328808446455
NM_174953,-0.6071794871794871
NM_181501,-0.3931578947368421
NM_002203,-0.37246913580246915
NM_001258310,-0.391
NM_000885,-0.44436848203939744
NM_002205,-0.5066071428571428
NM_006912,-0.4519471947194719
NM_001144996,-0.5155937500000001
NM_003301,-0.24978835978835978
NM_001660,-0.42408482142857146
NM_001354435,-0.30190839694656485
NM_001293172,-0.3037241379310345
NM_001320835,-0.42210309278350516
NM_014856,-0.5877844311377246
NM_017863,-0.38281746031746033
NM_001006635,-0.41149384885764495
NM_015055,-0.4241379310344827
NM_206963,-0.4331578947368421
NM_007350,-0.47014814814814815
NM_018359,-0.3785253456221198
NM_001290043,-0.45647272727272725
NM_002676,-0.3471604938271605
NM_001130064,-0.2665762273901809
NM_015430,-0.4372344322344322
NM_003129,-0.3948050682261208
NM_021624,-0.21455
NM_001316942,-0.40008051529790656
NM_152902,-0.4327627627627628
NM_007232,-0.6119395465994962
NM_001163315,-0.49
NM_001098213,-0.3533484162895928
NM_001099784,-0.44069767441860463
NM_024963,-0.44566964285714283
NM_000020,-0.5113054830287207
NM_182562,-0.3139142857142857
NM_001142623,-0.4641246290801187
NM_033625,-0.302198275862069
NM_152744,-0.6571548117154812
NM_001144952,-0.2901
NM_152786,-0.34956896551724137
NM_002091,-0.5357575757575758
NM_172138,-0.36019736842105265
NM_001128228,-0.5362
NM_024817,-0.2683798882681564
NM_019099,-0.4716666666666666
NM_203370,-0.5074248927038627
NM_031422,-0.40012531328320805
NM_022467,-0.42905594405594405
NM_000495,-0.3877225130890053
