"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NM_017847",112.294090079776,0.326942734632093,0.32041535854319,1.02037160802335,0.307552253874452,0.999897246571824
"NM_001003803",182.333378063801,0.0280825102952189,0.223572474744276,0.125608084480614,0.900042163156382,0.999897246571824
"NM_001003800",354.785989070897,-0.0695109776251134,0.380928909084565,-0.182477559374949,0.855207963716717,0.999897246571824
"NM_016649",208.700788094935,0.0673711414187477,0.317092535402606,0.212465239313211,0.831744093708985,0.999897246571824
"NM_016647",148.352947598746,0.066371948690262,0.632973824541064,0.104857335512072,0.916489013599995,0.999897246571824
"NM_016640",657.000988705469,-0.0115728077050036,0.176776574062229,-0.0654657313413585,0.947803190211713,0.999897246571824
"NM_001304467",50.6280955173752,0.467722572918734,0.45616720180864,1.02533143782428,0.30520682681181,0.999897246571824
"NM_001080825",170.759319909529,0.0408584797146386,0.769176572984937,0.0531197661885092,0.957636482544682,0.999897246571824
"NM_002223",1195.0406538132,-0.153695907470636,0.253847399237266,-0.605465755932288,0.544869571317115,0.999897246571824
"NM_001253384",175.525277661876,-0.375582965333093,0.444364210123124,-0.845214256181943,0.397991224069952,0.999897246571824
"NM_001145313",63.740470821701,0.153407103449056,0.304997736411793,0.502977842569732,0.614979850516047,0.999897246571824
"NM_018476",266.171404496893,0.00877203925460922,0.190492887887844,0.0460491693515293,0.963271059973832,0.999897246571824
"NM_003363",640.362296497441,0.131282070822024,0.177611675627352,0.739152256507436,0.459814548230717,0.999897246571824
"NM_207118",80.8372427066867,-0.275454970435985,0.263839311257447,-1.04402550599143,0.296473589145931,0.999897246571824
"NM_001282730",259.973567698763,-0.146973881953219,0.204255610719188,-0.719558603240911,0.471796807836436,0.999897246571824
"NM_007100",275.67567054392,0.206647288477259,0.20079343910993,1.02915358884871,0.303407507470074,0.999897246571824
"NM_000485",509.606123928397,-0.238573308792312,0.20687240119974,-1.15323894056783,0.248812324334624,0.999897246571824
"NM_007108",1057.08698589165,-0.0850582703890727,0.211884667230275,-0.401436647120067,0.688098672649203,0.999897246571824
"NM_001350532",510.422739354193,-0.154278146075339,0.180507352532994,-0.854691755822738,0.392721815751165,0.999897246571824
"NM_001350531",66.4882992414204,0.135418290204314,0.311826883948257,0.434273942290314,0.664089523853205,0.999897246571824
"NM_001350530",536.506369851102,0.0740544926580135,0.301849810055376,0.245335561564302,0.80619661879522,0.999897246571824
"NM_014177",134.110077755049,0.264091466297404,0.350992956955257,0.752412437526684,0.451803069316826,0.999897246571824
"NM_020992",527.797853785508,-0.363921507142131,0.38388591535346,-0.947993902842341,0.343132558171472,0.999897246571824
"NM_005802",697.001399583635,0.00431375334959096,0.211248494175182,0.0204202797583669,0.983708106314945,0.999897246571824
"NM_005258",104.661615838024,0.160520413346835,0.288893867571779,0.555638008850957,0.578458342506653,0.999897246571824
"NM_003824",216.714382438258,-0.143212607496234,0.212655819313055,-0.673447865000146,0.500662406016202,0.999897246571824
"NM_003825",726.022827627047,-0.123627035859788,0.333924446682491,-0.37022457351659,0.711215168379635,0.999897246571824
"NM_003826",318.716841911353,-0.00380583777306207,0.354263270345371,-0.0107429646018673,0.991428519281508,0.999897246571824
"NM_003827",1794.62390249599,-0.0107765832058051,0.209123971165666,-0.0515320321517231,0.958901577785348,0.999897246571824
"NM_003820",60.860734125532,-0.332089166852863,0.414097542600846,-0.801958796391526,0.422576793101126,0.999897246571824
"NM_003821",144.747742370785,-0.295149702895488,0.203531210685824,-1.45014468248355,0.147018177129988,0.999897246571824
"NM_003795",1089.04558241514,-0.0149221567091407,0.121104135735873,-0.123217564936723,0.901934816750019,0.999897246571824
"NM_012181",2517.82395163738,-0.0444817270912666,0.164809720292195,-0.269897473355358,0.787239131039492,0.999897246571824
"NM_012180",148.614550113016,0.110303484209554,0.348154450673505,0.316823421318246,0.751377591386377,0.999897246571824
"NM_001018088",1853.19269978787,-0.0990872327167644,0.175146404238391,-0.565739463208716,0.571570904233686,0.999897246571824
"NM_001025780",207.297622239577,-0.0938732255086254,0.290076149104104,-0.323615801569869,0.746228923311386,0.999897246571824
"NM_001300829",674.360250565184,-0.092314453385905,0.236472818382874,-0.390380822697509,0.69625496645763,0.999897246571824
"NM_001688",771.669945990817,0.0599543683645821,0.164752130319934,0.363906483322286,0.715927843133654,0.999897246571824
"NM_014171",145.874213060873,0.214020406050909,0.320735921278153,0.667279190924498,0.504593815704044,0.999897246571824
"NM_001867",400.259741480253,0.184464377195731,0.298513250511807,0.617943682163064,0.536612463050258,0.999897246571824
"NM_144643",202.094212582491,0.120547343512989,0.19334695441555,0.623476815951818,0.532971232818452,0.999897246571824
"NM_000159",507.66562620853,0.0238384082468059,0.274547707480549,0.0868279267948169,0.930808289076156,0.999897246571824
"NM_000158",504.252565778495,0.0433631449475417,0.441394732191784,0.0982411927125143,0.921740773593147,0.999897246571824
"NM_021021",376.899197989626,-0.111584324440256,0.571546274465465,-0.19523235374881,0.845211051734358,0.999897246571824
"NM_001143679",442.962458508503,-0.189570647318023,0.164030608929743,-1.15570288103497,0.24780270933074,0.999897246571824
"NM_001297658",149.027782028619,-0.132593849412464,0.263700645681523,-0.502819585707805,0.615091122166133,0.999897246571824
"NM_001286495",143.891143111005,-0.0877481163692328,0.365443848880096,-0.240113814032271,0.810242025389753,0.999897246571824
"NM_023009",172.400358426454,0.521575788839189,0.512100430672131,1.01850292950276,0.308439009348818,0.999897246571824
"NM_173531",96.0857411076681,0.205845754895446,0.251197109797868,0.819459089561519,0.412524533835631,0.999897246571824
"NM_001286499",100.519268360294,-0.219910164234229,0.288951794404349,-0.761061770485128,0.446620173198151,0.999897246571824
"NM_001297656",1757.95701104308,-0.046499084154102,0.140165938084252,-0.331743109557417,0.740083245586662,0.999897246571824
"NM_006885",287.28673757729,-1.57784267092562,1.31752395001223,-1.1975817752011,0.231079874588713,0.999897246571824
"NM_001319119",282.07507323261,0.03695326610776,0.223776384559573,0.165134789269609,0.868837891013603,0.999897246571824
"NM_001193653",244.667645516641,-0.0552437515059495,0.232354102367301,-0.237756729677281,0.812069781069068,0.999897246571824
"NM_182976",452.617564967808,0.0462458025171338,0.271462198981968,0.17035816659028,0.864728469403748,0.999897246571824
"NM_003355",1284.27459713586,-0.0540857255775281,0.782989224536984,-0.0690759513446834,0.94492916334177,0.999897246571824
"NM_001002030",365.197354865664,-0.0542758180476161,0.166116502980541,-0.326733449559639,0.743869498454246,0.999897246571824
"NM_001170704",238.304602367312,-0.119909018159453,0.252216302117544,-0.475421363142378,0.63448667054871,0.999897246571824
"NM_003358",315.428306505366,0.182073994734022,0.316798136568307,0.574731899329728,0.565472630110577,0.999897246571824
"NM_001002034",27.3244006699059,-0.200187799257107,0.440017686323174,-0.454953983622553,0.649142344486473,0.999897246571824
"NM_004813",219.638326897802,-0.0287212831508923,0.246068609251285,-0.116720630227003,0.907081441463022,0.999897246571824
"NM_004814",596.413915960956,0.0481172333070725,0.192581301675006,0.249854128560588,0.80270015836025,0.999897246571824
"NM_020199",272.147738323188,0.182456543564504,0.160527302651325,1.13660754619923,0.255702384032781,0.999897246571824
"NM_004817",834.434861464741,-0.070936948465339,0.214031876988951,-0.331431698227835,0.740318424881975,0.999897246571824
"NM_004818",712.032344957621,0.0216830954577708,0.221734002448187,0.0977887704112387,0.92210002455743,0.999897246571824
"NM_020196",843.223192555879,-0.0375047633201892,0.186108574862213,-0.201520877519782,0.840291306378515,0.999897246571824
"NM_020195",138.611209955895,-0.362004495146819,0.349279297100798,-1.0364327291988,0.300000307907247,0.999897246571824
"NM_014314",96.1193442870324,-0.0920368034028791,0.344437573495726,-0.267208953044205,0.789308283172544,0.999897246571824
"NM_020191",614.494312616153,0.0296152692039865,0.156785678312196,0.188890143046202,0.85017891921934,0.999897246571824
