Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0022625~cytosolic large ribosomal subunit	3	5.55555555556	0.0466404927226	NM_033625, NM_001282568, NM_000992	49	53	7347	8.48710050058	0.961144211372	0.961144211372	38.8215250869
GOTERM_BP_DIRECT	GO:0030308~negative regulation of cell growth	3	5.55555555556	0.0470776899012	NM_001308426, NM_006848, NM_001190316	44	57	7039	8.41985645933	0.999989120065	0.999989120065	46.2691721045
GOTERM_CC_DIRECT	GO:0005758~mitochondrial intermembrane space	3	5.55555555556	0.0531430622716	NM_005694, NM_001320327, NM_016565	49	57	7347	7.89151450054	0.975602975407	0.843804530818	42.9809381194
GOTERM_BP_DIRECT	GO:0000188~inactivation of MAPK activity	2	3.7037037037	0.0594729822526	NM_004090, NM_144488	44	10	7039	31.9954545455	0.999999511356	0.99930096943	54.6084532116
GOTERM_BP_DIRECT	GO:0033617~mitochondrial respiratory chain complex IV assembly	2	3.7037037037	0.0652266686615	NM_005694, NM_016565	44	11	7039	29.0867768595	0.999999885871	0.995149362946	58.0583450569
GOTERM_BP_DIRECT	GO:0007566~embryo implantation	2	3.7037037037	0.0878995690036	NM_000992, NM_001553	44	15	7039	21.3303030303	0.999999999661	0.995709304834	69.4311659048
GOTERM_BP_DIRECT	GO:0045931~positive regulation of mitotic cell cycle	2	3.7037037037	0.115486376555	NM_004090, NM_004095	44	20	7039	15.9977272727	1.0	0.997022892269	79.4193003144
GOTERM_BP_DIRECT	GO:0060041~retina development in camera-type eye	2	3.7037037037	0.120905109394	NM_001320415, NM_144631	44	21	7039	15.2359307359	1.0	0.993842387462	80.985642446
GOTERM_MF_DIRECT	GO:0008201~heparin binding	2	3.7037037037	0.139888518638	NM_000992, NM_003873	42	26	7107	13.0164835165	0.999999478499	0.999999478499	80.9809822174
GOTERM_MF_DIRECT	GO:0046872~metal ion binding	9	16.6666666667	0.153940524654	NM_001308426, NM_001105540, NM_001282670, NM_030895, NM_144631, NM_017621, NM_014205, NM_001323544, NM_003873	42	922	7107	1.65176634645	0.999999892728	0.999672476176	84.1366174198
