
Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0007067~mitotic nuclear division	9	10.2272727273	2.31193598074e-05	NM_019405, NM_001131054, NM_133780, NM_007708, NM_173762, NM_144526, NM_133851, NM_027411, NM_019710	78	277	18082	7.53207442377	0.011630369533500001	0.011630369533500001	0.0333434991389
GOTERM_BP_DIRECT	GO:0051301~cell division	10	11.3636363636	2.93822264932e-05	NM_019405, NM_001131054, NM_133780, NM_007708, NM_173762, NM_144526, NM_145150, NM_133851, NM_027411, NM_019710	78	374	18082	6.1984094337	0.0147576476006	0.00740625007034	0.042374229627400006
GOTERM_BP_DIRECT	GO:0007049~cell cycle	10	11.3636363636	0.0011670480708800002	NM_019405, NM_001131054, NM_133780, NM_007708, NM_173762, NM_144526, NM_145150, NM_133851, NM_027411, NM_019710	78	614	18082	3.7755783847	0.446155422988	0.17877410359499998	1.67029261533
GOTERM_BP_DIRECT	GO:0007283~spermatogenesis	7	7.954545454550001	0.007754359626890001	NM_030014, NM_019405, NM_007708, NM_028937, NM_010515, NM_001167730, NM_010021	78	407	18082	3.9870849870800003	0.980532288169	0.62646721382	10.621426698099999
GOTERM_BP_DIRECT	GO:0000226~microtubule cytoskeleton organization	4	4.54545454545	0.00798808223044	NM_001282992, NM_010910, NM_145150, NM_133851	78	96	18082	9.659188034189999	0.982719902819	0.555870893472	10.9246280783
GOTERM_BP_DIRECT	GO:0015031~protein transport	8	9.090909090910001	0.012964849312	NM_030014, NM_134090, NM_029391, NM_025535, NM_008943, NM_133780, NM_023831, NM_053204	78	592	18082	3.1327096327099997	0.998643857515	0.667301466203	17.1580162319
GOTERM_BP_DIRECT	GO:0016192~vesicle-mediated transport	5	5.681818181819999	0.012973420526799999	NM_001177648, NM_134090, NM_025535, NM_001242389, NM_026170	78	213	18082	5.441796075599999	0.998649803362	0.6109040436209999	17.1683924167
GOTERM_BP_DIRECT	GO:0006936~muscle contraction	3	3.4090909090900006	0.0192159509789	NM_172259, NM_016963, NM_024219	78	50	18082	13.9092307692	0.9999455325040001	0.706899083899	24.4125204062
GOTERM_BP_DIRECT	GO:0051984~positive regulation of chromosome segregation	2	2.27272727273	0.0211136407383	NM_173762, NM_001167730	78	5	18082	92.7282051282	0.999979557595	0.698735471656	26.494961306100002
GOTERM_BP_DIRECT	GO:0045860~positive regulation of protein kinase activity	3	3.4090909090900006	0.030441446351700003	NM_008943, NM_173762, NM_011521	78	64	18082	10.866586538499998	0.9999998391339999	0.790759122453	35.9769468634
-	-	-	-	-	-	-	-	-	-	-	-	-
GOTERM_CC_DIRECT	GO:0005856~cytoskeleton	20	22.7272727273	1.70227584366e-07	NM_001282992, NM_030014, NM_019405, NM_024219, NM_020590, NM_010620, NM_025854, NM_008446, NM_133780, NM_145150, NM_133851, NM_027411, NM_001114361, NM_001277100, NM_016963, NM_001177648, NM_023831, NM_173762, NM_001167730, NM_001242389	85	1113	19662	4.156651339780001	3.33640527823e-05	3.33640527823e-05	0.000212656467502
