AccNum,L24_0,L24_1,L24_2,RNA_0,RNA_1,RNA_2,S15_0,S15_1,S15_2,S24_0,S24_1,S24_2,totalRPF_0,totalRPF_1,totalRPF_2
NM_017847,9.61658147307,9.64166293851,5.553743796745,10.37944611251,10.1171500541,5.71489292289,7.013212626065,7.10270913309,2.92801890761,8.924403233685,11.7345908583,5.915926635845,12.55728505395,15.42728485485,4.42300984689
NM_001003803,24.7225808569,36.9518628871,50.5537299823,9.66289451972,12.0428555573,13.3086478705,15.8697381108,20.42747132055,22.25202534485,22.3484416061,32.8358884997,46.8565514472,26.9428145859,40.92193328845,43.85399255545
NM_001003800,31.657687276,12.672994583495,6.29740308745,23.50972745745,11.00040225269,6.11234951532,22.6118461235,8.410601718695,3.99448865505,28.266971698,12.145179239915,6.626846548435,27.4248005543,11.998773796975,6.639237486525
NM_016649,8.428670037195,15.1595008819,4.833949342115,4.553130383555,8.6286566989,2.685933531945,5.37410405,12.94182951785,3.222604317335,7.5231347486,20.49538375325,5.15109219909,10.96712043228,23.428804674,4.650310330065
NM_016647,43.94774539835,49.4941774262,20.2505027044,20.97438636695,21.8461444818,9.54880091758,27.2685236862,26.28713484675,8.841136919685,33.521557248,38.09768750955,15.1500271232,25.6942819787,29.2577267133,13.91418237062
NM_016640,57.0967883495,111.103124903,44.83867917215,31.7466405102,36.1827259,19.005157375,36.7355144441,57.73345689255,26.32577578635,54.47920875125,99.0102149097,40.21185576275,62.1533266316,103.509889992,38.6704823904
NM_001304467,7.09831521856,15.87090252945,5.174261125065,8.263862778135,13.0274734257,4.271050727775,3.83901085545,6.48036865699,3.856063015355,5.77817044458,15.25960496229,6.749360677875,6.80713686866,15.8913139355,4.66277557007
NM_001080825,6.173257060165,15.6544641313,39.3188157676,2.610910197525,7.85641623524,14.27026037116,3.128041174855,8.666996375555,18.90513489566,5.850249005475,14.6960616334,33.0683026375,5.0467188527,15.0404506819,30.8810212823
NM_002223,35.90310584185,10.98069091655,2.25874133839,32.7785296495,13.34447982975,3.411628922215,22.4859845707,7.285814607145,1.297933677975,39.46232031425,14.49513595645,2.200507262835,42.35818028255,16.0800724018,2.342061747405
NM_001253384,44.8352262158,65.87854895475,26.06570354575,68.31561956805,52.5365679812,26.8617708091,29.51630575845,43.5703227951,15.37770095985,35.11484034185,53.68291732625,23.6469452715,30.4120773576,48.0379377223,29.2117382809
NM_001145313,2.72833591289,7.41800040378,3.749870703635,2.303237671905,5.177881150815,2.2872166328,1.547171983175,4.06679063815,1.93017706191,3.134995549715,8.35852912181,3.674469859835,4.342743668085,9.758285050135,3.15091556965
