AccNum,L24_0,L24_1,L24_2,RNA_0,RNA_1,RNA_2,S15_0,S15_1,S15_2,S24_0,S24_1,S24_2,totalRPF_0,totalRPF_1,totalRPF_2
NM_001003806,1.9234136182,0.574199931077,NaN,10.55762416292,1.6740526834,NaN,1.966547394695,NaN,NaN,2.611499752415,NaN,NaN,6.59958347476,0.52407956735,NaN
NM_017847,9.61658147307,9.64166293851,5.553743796745,10.37944611251,10.1171500541,5.71489292289,7.013212626065,7.10270913309,2.92801890761,8.924403233685,11.7345908583,5.915926635845,12.55728505395,15.42728485485,4.42300984689
NM_001143986,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06730900161775,NaN,NaN,0.07496966897565,0.06722162852585,NaN
NM_001143987,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NM_001143980,NaN,0.0684278034341,NaN,0.415859846649,0.455306460367,0.2986114202935,0.12848396896395,0.109323621943,NaN,NaN,NaN,NaN,0.1210677216378,NaN,NaN
NM_001003803,24.7225808569,36.9518628871,50.5537299823,9.66289451972,12.0428555573,13.3086478705,15.8697381108,20.42747132055,22.25202534485,22.3484416061,32.8358884997,46.8565514472,26.9428145859,40.92193328845,43.85399255545
NM_001003800,31.657687276,12.672994583495,6.29740308745,23.50972745745,11.00040225269,6.11234951532,22.6118461235,8.410601718695,3.99448865505,28.266971698,12.145179239915,6.626846548435,27.4248005543,11.998773796975,6.639237486525
NM_016649,8.428670037195,15.1595008819,4.833949342115,4.553130383555,8.6286566989,2.685933531945,5.37410405,12.94182951785,3.222604317335,7.5231347486,20.49538375325,5.15109219909,10.96712043228,23.428804674,4.650310330065
NM_016647,43.94774539835,49.4941774262,20.2505027044,20.97438636695,21.8461444818,9.54880091758,27.2685236862,26.28713484675,8.841136919685,33.521557248,38.09768750955,15.1500271232,25.6942819787,29.2577267133,13.91418237062
NM_016644,NaN,NaN,NaN,NaN,NaN,NaN,0.3703601917255,NaN,NaN,0.09649932530785,NaN,NaN,NaN,NaN,NaN
