,AccNum,Gene,TElogFC,RNAlogFC
0,NM_017847,ODR4,-0.7967317520680072,-0.126206592664276
1,NM_001003803,ATP5S,-0.188181448274544,0.848024943143149
2,NM_001003800,BICD2,0.29660136816390503,-0.134068052178053
3,NM_016649,ESF1,-0.504956481747696,-0.967037025230995
4,NM_016647,THEM6,0.349597083751844,-0.4904269211788
5,NM_016640,MRPS30,0.0432871432221944,-0.229295162530474
6,NM_001304467,EEF1AKMT2,0.00026467386689131204,-0.9146054967931171
7,NM_001080825,TMEM120B,-0.116207807167599,1.54104960424969
8,NM_002223,ITPR2,-0.35102732045894103,-1.26803410890553
9,NM_001253384,RPL15,0.7693033363241031,-0.262813645814986
10,NM_001145313,FSD1L,-0.489331931371187,-0.489017108261173
11,NM_018476,BEX1,-0.21338210573695998,2.07223858266169
12,NM_003363,USP4,-0.269740308768845,0.17940768777185298
13,NM_207118,GTF2H5,0.183505146260105,-0.715324369112609
14,NM_001282730,SUPT7L,-0.0771042659277116,0.39213437985010496
15,NM_007100,ATP5ME,0.04441606394876001,0.0623307622736122
16,NM_000485,APRT,0.6046910379133089,-0.88756654414084
17,NM_007108,ELOB,0.353324070789113,0.8596051707693109
18,NM_001350532,SNX14,-0.100517694690854,-1.2599258735956
19,NM_001350531,LARP1B,-0.516065206586281,-0.5317296936276771
20,NM_001350530,MIER1,-0.4003648312890711,0.23178283263991603
21,NM_014177,TIMM21,-0.186545214368454,-0.5563837413937349
22,NM_020992,PDLIM1,0.240941722772124,-3.3031022969871495
23,NM_005802,TOPORS,-0.381902980789873,1.16088912486787
24,NM_005258,GCHFR,0.155418766043362,0.6885915138083449
25,NM_003824,FADD,0.259215722400797,0.506464289689822
26,NM_003825,SNAP23,-0.0545109100929684,0.0620787020015683
27,NM_003826,NAPG,-0.0968111724446731,1.7536252979976397
28,NM_003827,NAPA,0.129629969361403,1.29709406919102
29,NM_003820,TNFRSF14,0.88398485865567,1.5619804306767402
30,NM_003821,RIPK2,0.349132360286004,0.3940557096595
31,NM_003795,SNX3,0.204926656261808,1.5095269213419398
32,NM_012181,FKBP8,0.287910164699265,2.8107417243819905
33,NM_012180,FBXO8,-0.28890917564429,1.85862651394227
34,NM_001018088,VPS13C,-0.279187478827409,0.0126405734146541
35,NM_001025780,ABHD17B,-0.207248105393085,-0.37656650850746604
36,NM_001300829,CIRBP,0.024727274202561,1.10255017055187
37,NM_001688,ATP5PB,-0.23786929056960798,-0.34087306903685494
38,NM_014171,CRIPT,-0.225920141016374,1.11767415966682
39,NM_001867,COX7C,0.110561801162084,-0.4831380901542371
40,NM_144643,SCLT1,-0.000560122571457865,1.01345860018118
41,NM_000159,GCDH,-0.0175500937345975,0.8075882163901071
42,NM_000158,GBE1,-0.30959156447932695,-1.3658609692679
43,NM_021021,SNTB1,0.34022162014068896,0.483502240445927
44,NM_001143679,GSTK1,0.366503394408617,-0.793583555241077
45,NM_001297658,TSSC4,0.136078733511752,1.06575113033648
46,NM_001286495,FAM214A,-0.366206825448951,1.5472318395822902
47,NM_023009,MARCKSL1,-0.9067473250403271,0.583022764391926
48,NM_173531,ZNF100,-0.235740463775797,-0.48635075945080697
49,NM_001286499,PIF1,0.6128756089234549,1.15534746003695
50,NM_001297656,KIF2C,-0.0527743666688954,1.2593623678233798
51,NM_006885,ZFHX3,1.75302766279532,-0.670064037464058
52,NM_001319119,DNPEP,0.121504702030099,-0.65839913518398
53,NM_001193653,C17orf62,0.00299588666707922,-0.156190144393594
54,NM_182976,ZNF326,-0.16919849330322798,1.0152330509824399
55,NM_003355,UCP2,0.27474884090323104,1.21535977768218
56,NM_001002030,ECHDC1,0.111384853272934,-0.962603014693824
57,NM_001170704,MBNL3,0.0366262523712503,1.23997777800891
58,NM_003358,UGCG,-0.21722042942898395,0.458829802595384
59,NM_001002034,FAM109B,0.257087812005117,0.722695511468383
60,NM_004813,PEX16,0.0377485816024802,0.43768733272924604
61,NM_004814,SNRNP40,-0.1283939055843,-0.241544306058454
62,NM_020199,C5orf15,-0.157609166476768,0.401741315809372
63,NM_004817,TJP2,-0.024713431835778003,1.07863065049147
64,NM_004818,DDX23,-0.0175239962782585,0.162149989219116
65,NM_020196,XAB2,0.0019061461189393,-0.632750587069054
66,NM_020195,SDR39U1,1.1214154136661298,-0.277619034417148
67,NM_014314,DDX58,-0.219959095475243,-0.0431006444042869
68,NM_020191,MRPS22,-0.10419075101092402,-0.17418897456401097
69,NM_005663,NELFA,0.33478374661019,-0.014753411342209
70,NM_001303095,ISG20L2,0.5044868044246189,-0.6991275002568011
71,NM_001303096,WDR75,-0.38577063325492206,-1.16205874807773
72,NM_014313,TMEM50A,-0.323062503583927,0.117167127926916
73,NM_003689,AKR7A2,0.548776937725717,-0.669419385507437
74,NM_003680,YARS,-0.223941256905916,0.0450121019415923
75,NM_003681,PDXK,0.0979342920586989,-0.61970531949003
76,NM_003682,MADD,0.0482563872495521,-0.45938438273579707
77,NM_003684,MKNK1,0.0336310608964499,0.712663090447813
78,NM_003685,KHSRP,0.23715993923234302,-0.8847143461961929
79,NM_006416,SLC35A1,-0.5612584779434711,-0.7133738125444509
80,NM_003172,SURF1,0.0184967352150821,0.447409362838891
81,NM_006411,AGPAT1,0.638899563353896,-0.568779528463128
82,NM_001128844,SMARCA4,0.0917006986031808,-1.34213325877785
83,NM_001127325,MAD2L2,0.523349463835948,-0.296293248986143
84,NM_001127322,CBX5,-0.0581522738469471,0.0484067894506615
85,NM_001098398,COPA,-0.262633006670415,0.27524415165092697
86,NM_001257360,AMPD2,0.464419763187549,-2.10923194264669
87,NM_002887,RARS,-0.26666318319939397,-0.723657959893603
88,NM_002886,RAP2B,0.5439265125815711,1.09107512510399
89,NM_001346791,TSR2,-0.31714655736630204,-0.501807050727494
90,NM_024298,MBOAT7,0.316935605467987,-0.281133204243496
91,NM_024299,PPDPF,1.2487173756060401,0.320899205149765
92,NM_024292,UBL5,0.004847953509776071,0.5664257441759281
93,NM_024293,RETREG2,0.0864305523250787,1.75298506014826
94,NM_024294,C6orf106,-0.151975333442378,1.18472393165005
95,NM_002014,FKBP4,0.0617556035249166,-1.4527936739044898
96,NM_024297,PHF23,0.141054041075256,1.08157050690275
97,NM_032505,KBTBD8,-0.0274499445578473,0.8725219528702091
98,NM_032501,ACSS1,0.0908029498682767,-0.9025836413174159
99,NM_001469,XRCC6,-0.007858961272166209,-0.36315004641896204
100,NM_004104,FASN,0.27742433852048104,-3.23713814052969
101,NM_001077268,ZFYVE19,0.804150040317463,-0.242258302218701
102,NM_001303115,TUBA1C,-0.00169284784861395,0.328899875059188
